"f(x)","f'(x)"
0.000000,0.999342
0.062791,0.997370
0.125333,0.991462
0.187381,0.981641
0.248690,0.967946
0.309017,0.950431
0.368125,0.929165
0.425779,0.904232
0.481754,0.875730
0.535827,0.843772
0.587785,0.808485
0.637424,0.770006
0.684547,0.728489
0.728969,0.684097
0.770513,0.637005
0.809017,0.587399
0.844328,0.535474
0.876307,0.481437
0.904827,0.425499
0.929776,0.367882
0.951057,0.308814
0.968583,0.248526
0.982287,0.187258
0.992115,0.125251
0.998027,0.062749
1.000000,0.000000
0.998027,-0.062749
0.992115,-0.125251
0.982287,-0.187258
0.968583,-0.248526
0.951057,-0.308814
0.929776,-0.367882
0.904827,-0.425499
0.876307,-0.481437
0.844328,-0.535474
0.809017,-0.587399
0.770513,-0.637005
0.728969,-0.684097
0.684547,-0.728489
0.637424,-0.770006
0.587785,-0.808485
0.535827,-0.843772
0.481754,-0.875730
0.425779,-0.904232
0.368125,-0.929165
0.309017,-0.950431
0.248690,-0.967946
0.187381,-0.981641
0.125333,-0.991462
0.062791,-0.997370
0.000000,-0.999342
-0.062791,-0.997370
-0.125333,-0.991462
-0.187381,-0.981641
-0.248690,-0.967946
-0.309017,-0.950431
-0.368125,-0.929165
-0.425779,-0.904232
-0.481754,-0.875730
-0.535827,-0.843772
-0.587785,-0.808485
-0.637424,-0.770006
-0.684547,-0.728489
-0.728969,-0.684097
-0.770513,-0.637005
-0.809017,-0.587399
-0.844328,-0.535474
-0.876307,-0.481437
-0.904827,-0.425499
-0.929776,-0.367882
-0.951057,-0.308814
-0.968583,-0.248526
-0.982287,-0.187258
-0.992115,-0.125251
-0.998027,-0.062749
-1.000000,-0.000000
-0.998027,0.062749
-0.992115,0.125251
-0.982287,0.187258
-0.968583,0.248526
-0.951057,0.308814
-0.929776,0.367882
-0.904827,0.425499
-0.876307,0.481437
-0.844328,0.535474
-0.809017,0.587399
-0.770513,0.637005
-0.728969,0.684097
-0.684547,0.728489
-0.637424,0.770006
-0.587785,0.808485
-0.535827,0.843772
-0.481754,0.875730
-0.425779,0.904232
-0.368125,0.929165
-0.309017,0.950431
-0.248690,0.967946
-0.187381,0.981641
-0.125333,0.991462
-0.062791,0.997370
-0.000000,0.999342
